ra,dec,koi_gmag,koi_disposition,koi_count,koi_num_transits,koi_max_mult_ev,koi_bin_oedp_sig,koi_ldm_coeff1,koi_model_snr,koi_prad,koi_impact,koi_duration,koi_depth,koi_dor,koi_incl,koi_teq,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_fwm_stat_sig,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_tce_plnt_num,koi_time0,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_insol,koi_srho
294.50842,39.398682,16.096,0,1,127.0,21.30607,0.6681,0.6188,25.5,1.88,0.597,1.9883,699.9,21.79,88.43,697.0,4805.0,4.633,-0.06,0.688,0.769,0.0,-3.33,0.64,-0.00101,0.00028,9.01,-1.77,9.18,1.0,2455192.18,0,0,0,0,55.83,4.22983
294.2655,44.7943,13.94,0,1,8.0,205.05179,0.698,0.3236,370.2,11.52,0.663,9.8974,4840.5,104.64,89.64,437.0,6309.0,4.16,0.12,1.567,1.294,0.284,0.056,-0.116,8e-05,-0.00014,0.0,0.019,0.019,1.0,2455111.881,0,0,0,0,8.65,0.82549
283.55554,45.614262,17.212,0,1,661.0,58.821148,0.9734,0.4768,92.3,2.12,0.671,1.6864,1446.8,6.12,83.71,797.0,3764.0,4.739,0.14,0.527,0.555,0.0,-0.931,-1.82,-0.00073,-0.0017,1.21,3.8,3.97,1.0,2455188.358,0,0,0,0,95.14,1.51318
295.4783,39.867722,16.48,0,1,56.0,298.8398,0.5919,0.3588,282.8,16.43,0.88,3.3011,19387.0,26.185,88.07,742.0,5982.0,4.493,-0.04,0.96,1.047,0.0,1.377,-0.585,0.0131,-0.004,-7.083,-0.101,7.084,1.0,2455196.55,0,0,0,0,71.78,1.49591
299.6777,45.972328,16.683,0,1,182.0,36.66786,0.4448,0.2631,44.8,1.89,0.039,1.4848,1496.6,33.26,89.93,512.0,3821.0,4.764,-0.24,0.487,0.503,0.0,-0.77,-2.06,-0.00114,-0.00105,0.15,0.56,0.58,1.0,2455189.91,0,0,0,0,16.23,17.84134
292.27612,39.550179,15.129,0,3,30.0,12.082628,0.6855,0.3858,14.7,1.66,0.672,6.282,266.8,38.9,89.01,527.0,5823.0,4.427,-0.24,0.96,0.899,0.307,-1.0,0.8,0.00022,-0.00019,0.32,-0.31,0.44,2.0,2455011.25,0,0,0,0,18.16,0.63162
292.27612,39.550179,15.129,0,3,56.0,7.701652,0.9828,0.3858,10.2,1.4,0.853,4.507,163.6,19.51,87.5,663.0,5823.0,4.427,-0.24,0.96,0.899,0.011,0.3,2.6,-7e-05,-0.00039,-1.25,-0.6,1.4,3.0,2454965.634,0,0,0,0,45.79,0.31844
295.76083,45.45739,16.787,0,1,127.0,23.673973,0.9018,0.5896,28.3,2.27,0.33,2.8288,881.9,22.99,89.18,682.0,4942.0,4.599,0.36,0.779,0.884,0.0,-0.36,-1.75,0.00012,-0.00104,1.27,7.49,7.6,1.0,2455191.242,0,0,0,0,51.0,3.00117
295.62222,42.09288,17.047,0,1,784.0,1239.6158,0.0,0.3803,987.2,25.0,1.182,2.06728,28460.1,5.229,76.93,827.0,3874.0,4.715,-0.1,0.535,0.541,0.0,-0.0118,0.1387,0.0014,0.0035,-0.031,-0.03,0.047,1.0,2454966.316,0,0,0,0,110.02,0.92035
298.45953,42.187431,16.488,0,1,381.0,46.91396,0.7519,0.5484,57.3,2.87,0.01,2.4747,975.3,9.581,89.94,1124.0,5209.0,4.446,0.56,0.953,0.925,0.0,0.4,-0.1,0.00103,-0.00076,-0.3,0.17,0.34,1.0,2455190.379,0,0,0,0,377.79,1.83082
290.1127,48.577782,16.698,0,1,81.0,94.20674,0.9699,0.627,107.9,4.44,0.573,3.6045,3308.8,25.04,88.69,585.0,4843.0,4.562,0.04,0.754,0.755,0.0,0.286,-0.711,-2e-05,-0.00265,-1.11,1.85,2.16,1.0,2455196.087,0,0,0,0,27.77,1.66677
291.02069,42.46244,15.705,0,2,12.0,74.476715,0.6831,0.3238,76.6,6.45,0.918,4.4794,3920.1,98.1,89.46,376.0,5986.0,4.527,-0.5,0.85,0.886,0.001,-0.12,-0.08,-0.002,-0.0002,0.98,-0.07,0.98,1.0,2455207.832,0,0,0,0,4.74,1.62532
