ra,dec,koi_gmag,koi_disposition,koi_count,koi_num_transits,koi_max_mult_ev,koi_bin_oedp_sig,koi_ldm_coeff1,koi_model_snr,koi_prad,koi_impact,koi_duration,koi_depth,koi_dor,koi_incl,koi_teq,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_fwm_stat_sig,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_tce_plnt_num,koi_time0,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_insol,koi_srho
297.02563,48.478588,16.223,1,1,65.0,31.066507,0.8555,0.5746,33.2,3.1,0.799,3.2554,1121.9,24.7,88.14,593.0,5015.0,4.499,0.1,0.826,0.785,0.167,-0.03,-0.36,-2e-05,0.00054,-0.06,-0.21,0.22,1.0,2455009.361,0,0,0,0,29.31,1.10942
285.71854,48.505859,15.64,1,2,34.0,61.372303,0.6386,0.421,80.0,3.36,0.021,4.7971,1804.8,53.95,89.98,506.0,5586.0,4.56,-0.3,0.798,0.844,0.047,-0.25,-0.17,0.00079,-0.00016,0.037,0.07,0.08,1.0,2455027.102,0,0,0,0,15.55,2.79093
285.71854,48.505859,15.64,1,2,11.0,14.678595,0.7668,0.421,19.1,2.12,0.606,6.473,652.0,89.4,89.61,359.0,5586.0,4.56,-0.3,0.798,0.844,0.599,-0.5,-0.52,0.00041,0.00016,-0.36,-0.41,0.55,2.0,2455026.838,0,0,0,0,3.92,1.60558
292.16705,48.727589,15.715,1,1,269.0,670.4895,0.0517,0.4096,696.5,12.21,0.831,2.22739,9802.0,12.386,86.15,1103.0,5712.0,4.359,0.1,1.082,0.976,0.705,0.0,-0.086,0.00011,-7e-05,-0.018,0.012,0.022,1.0,2455005.259,0,0,0,0,349.4,1.46169
297.92365,48.777321,16.164,-1,1,387.0,39.745068,0.3375,0.4526,48.3,6.54,1.016,3.3827,860.4,2.22,62.69,1222.0,5550.0,4.468,-0.04,0.91,0.889,0.0,7.84,15.08,-0.00608,-0.01249,3.39,5.48,6.45,1.0,2455003.696,0,1,1,0,527.81,0.02818
298.45685,48.791592,15.874,1,1,238.0,26.501581,0.1694,0.3511,29.5,2.1,0.312,3.7362,460.0,8.95,88.0,1133.0,6075.0,4.486,-0.12,0.969,1.048,0.281,0.83,0.54,-0.00024,-0.0001,0.09,-0.12,0.15,1.0,2455004.349,0,0,0,0,389.62,0.67106
291.0939,48.933842,16.02,-1,1,59.0,509.4985,0.5224,0.3511,513.4,12.42,0.723,5.2514,11766.3,23.98,88.27,730.0,6074.0,4.391,-0.12,1.063,1.014,0.518,-0.059,-0.022,0.00021,-0.0002,0.006,0.0,0.006,1.0,2455012.402,0,1,0,0,67.03,0.67559
287.88733,46.276241,13.111,1,3,244.0,163.47614,0.2265,0.3928,166.7,2.94,0.787,2.9472,601.6,9.25,85.12,1093.0,5779.0,4.339,-0.06,1.087,0.941,0.0,0.007,-0.175,-5.2e-05,-0.000137,-0.03,0.08,0.08,1.0,2454966.143,0,0,0,0,337.68,0.51087
295.55505,49.017342,16.068,1,1,33.0,124.52492,0.4776,0.4695,141.1,5.5,0.355,10.5989,2793.1,29.47,89.31,516.0,5468.0,4.367,0.22,1.046,0.93,0.043,0.0,-0.15,-0.00022,-0.0004,-0.029,-0.072,0.078,1.0,2455041.932,0,0,0,0,16.72,0.28189
285.49924,49.277351,15.862,1,1,127.0,36.34974,0.5047,0.421,43.4,2.52,0.023,2.2514,1041.6,29.18,89.95,790.0,5592.0,4.582,-0.28,0.787,0.862,0.645,0.32,0.09,-0.00025,-9e-05,0.0,0.09,0.09,1.0,2455004.633,0,0,0,0,91.9,6.73215
